"Début d'événement";"Type d'événement";"Lieu de l'événement";"Nom Organisme";"Type d'organisme";"Identifiant";"Style";"Categorie";"Genre";"Titre";"Texte Début";"Texte Milieu";"Texte Fin";"Commune";"Département";"Code INSEE";"Code Postal";"Coordonnées GPS";"Date Modification";"Jour Min";"Jour Max";"Tarif Mention Payant";"Tarif Général";"Tarif Réduit";"Tarif Autre";"Photo 1 Légende";"Photo 1 Crédit";"Photo 2 Légende";"Photo 2 Crédit";"Photo 3 Légende";"Photo 3 Crédit";"Age Minimum";"Liens Vidéos"
"2017-01-09";"Formation, vie scolaire, concours";"44/Bouguenais";"Union départementale des associations familiales de Loire-Atlantique";"Association";"5415505";"Réunions formations cérémonies";"Formation, vie scolaire, examens, concours";"Vie scolaire (inscriptions...)";"Lire et faire lire";"";"Les lectures d'histoires à voix haute à des petits groupes d'enfants ont repris. L'objectif est de transmettre le goût de la lecture et de favoriser le lien intergénérationnel. Les personnes de 50 ans et plus qui sont intéressées peuvent contacter l'Udaf 44.";"Jusqu'au vendredi 30 juin, École Notre-Dame-Saint-Pierre, chemin de la Pierre-Levée, Bouguenais. Gratuit. Contact : 02 51 80 30 04, info@udaf44.asso.fr, www.udaf44.fr";"Bouguenais";"44";"44020";"44340";"47.1794, -1.62315";"2017-01-10";"2017-01-09";"2017-06-30";"non";"";"";"";"";"";"";"";"";"";"";""
"2016-09-07";"Formation, vie scolaire, concours";"44/Rouans";"Union départementale des associations familiales de Loire-Atlantique";"Association";"5244661";"Réunions formations cérémonies";"Formation, vie scolaire, examens, concours";"Vie scolaire (inscriptions...)";"Lectures « Lire et faire lire »";"";"L'Udaf 44 recherche des bénévoles de plus de 50 ans pour proposer des lectures hebdomadaires à des petits groupes d'enfants dans le cadre du programme Lire et faire lire. L'objectif est de transmettre aux enfants le plaisir de la lecture et favoriser le lien intergénérationnel.";"Jusqu'au vendredi 30 juin 2017, Ecole Saint-Martin, 28, route de Sainte-Pazanne, Rouans. Gratuit. Contact : 02 51 80 30 04, info@udaf44.asso.fr, www.udaf44.fr";"Rouans";"44";"44145";"44640";"47.18561, -1.8585";"2016-09-07";"2016-09-07";"2017-06-30";"non";"";"";"";"";"";"";"";"";"";"";""
"2016-09-05";"Formation, vie scolaire, concours";"44/Indre";"Union départementale des associations familiales de Loire-Atlantique";"Association";"5126187";"Réunions formations cérémonies";"Formation, vie scolaire, examens, concours";"Vie scolaire (inscriptions...)";"Lectures Lire et faire lire";"";"L’Udaf 44 recherche des bénévoles de plus de 50 ans pour proposer des lectures hebdomadaires à des petits groupes d’enfants dans le cadre du programme Lire et faire lire. L’objectif est de transmettre aux enfants le plaisir de la lecture et favoriser le lien intergénérationnel.";"Jusqu'au vendredi 30 juin 2017, École Sainte-Anne, 1, place du Prieuré, Indre. Contact : 02 51 80 30 04, info@udaf44.asso.fr, www.udaf44.fr";"Indre";"44";"44074";"44610";"47.19913, -1.670531";"2016-09-07";"2016-09-05";"2017-06-30";"non";"";"";"";"";"";"";"";"";"";"";""
"2017-01-21";"Réunion, assemblée";"44/Blain";"Ville de Blain";"Mairie";"5425982";"Réunions formations cérémonies";"Réunions, conseils, assemblées générales";"Réunion publique";"Nouvelle école Andrée Chedid";"Réunion publique. Organisateur : Ville de Blain.";"La nouvelle école Andrée Chedid ouvre ses portes dans quelques mois. Nous vous invitons à participer à la réunion publique du samedi 21 janvier à 10 h 30 au CEV pour une présentation de la carte scolaire, des services autour de l’école, des inscriptions scolaires et répondre à vos questions.";"Samedi 21 janvier, 10h30, CEV, 7, rue Alcoutim, Blain. Contact : 02 40 79 00 08, www.ville-blain.fr";"Blain";"44";"44015";"44130";"47.47339, -1.768768";"2017-01-16";"2017-01-21";"2017-01-21";"non";"";"";"";"";"";"";"";"";"";"";""
"2016-09-26";"Atelier, activité de loisirs";"44/Saint-Hilaire-de-Chaléons";"Clic pass'âges";"Association";"5133123";"Loisirs et sports";"Atelier, activité de loisirs";"Autre";"Sophrologie";"";"La sophrologie est une pédagogie de l'existence, c'est une méthode simple et structurée, accessible par tous, quelque soit la forme physique, en visant le renforcement de l'équilibre entre les sensations, les pensées, les émotions et les comportements. Aide à trouver l'harmonie.";"Du lundi 26 septembre 2016 au lundi 26 juin 2017, 14h15, Salle Pierre-Leduc, chemin de la Boule, Saint-Hilaire-de-Chaléons. Tarif 7€, autre : 7 € la séance soit 196 € à l’année. Contact et réservation : 02 51 70 93 37, clicmachecoul-animation@laposte.net";"Saint-Hilaire-de-Chaléons";"44";"44164";"44680";"47.10315, -1.8644";"2016-06-08";"2016-09-26";"2017-06-26";"oui";"7";"";"7 € la séance soit 196 € à l’année";"";"";"";"";"";"";"60";""
"2017-01-21";"Spectacle";"49/Trélazé";"O spectacles";"Équipement à but non lucratif (culture, sport et loisir)";"5079986";"Concerts, spectacles";"Autres scènes";"Autre";"Messmer, le fascinateur";"";"De son regard perçant, et grâce à ses techniques d'hypnoses, de transfert d'énergie et de magnétisme, il invite le spectateur à lâcher prise et à flirter avec son subconscient. Appelé le fascinateur, Messmer invite à un spectacle unique et surprenant.";"Samedi 21 janvier 2017, 20h, Arena Loire, 131, rue Ferdinand-Vest, Trélazé. Tarif De 44,50 € à 59,90 €. Contact et réservation : 02 40 48 97 30, contact@ospectacles.fr, www.ospectacles.fr";"Trélazé";"49";"49353";"49800";"47.44569, -0.4649817";"2016-05-06";"2017-01-21";"2017-01-21";"oui";"";"";"De 44,50 € à 59,90 €";"";"";"";"";"";"";"";""
"2017-01-22";"Sport";"44/Ancenis";"Ancenis Danse à Deux";"Association";"5428616";"Loisirs et sports";"Sport";"Autre";"Stage de salsa portoricaine débutant";"";"Apprentissage des pas de base, travail sur le rythme. Réservation obligatoire pour la parité danseurs/danseuses. 2ème stage à suivre le dimanche 29 janvier sur une chorégraphie de couple. Thé/Café/eau à disposition. Possibilité de filmer à la fin du cours.";"Dimanche 22 janvier, 9h30 à 11h, Salle de la Sablière, Espace Landrain, La Charbonnière, Ancenis. Payant. Inscription avant le 22 janvier. Contact : 06 82 43 61 09, ancenisdanseadeux@orange.fr";"Ancenis";"44";"44003";"44150";"47.36259, -1.183677";"2017-01-18";"2017-01-22";"2017-01-22";"oui";"";"";"";"";"";"";"";"";"";"";""
"2017-01-19";"Communiqué public";"44/Jans";"Ville de Jans";"Mairie";"5421745";"Vie quotidienne";"Autres communiqués des administrations (mairie...)";"Autre";"Recensement de la population";"";"Deux personnes vont assurer le recensement sur la commune de Jans, Sylvie Bourdeau et Géraldine Texereau. Se faire recenser est un geste civique, utile à tous. Nous vous demandons de réserver le meilleur accueil aux agents recenseurs qui passeront chez vous. www.recensement-et-moi.fr.";"Du jeudi 19 janvier au samedi 18 février, Jans.";"Jans";"44";"44076";"44170";"47.62188, -1.61283";"2017-01-12";"2017-01-19";"2017-02-18";"non";"";"";"";"";"";"";"";"";"";"";""
"2017-01-21";"Sport";"44/La Montagne";"ASCLM tennis de table";"Association";"5414280";"Loisirs et sports";"Sport";"Mémento sportif";"ASCLM tennis de table";"Mémento sportif.";"Samedi, à 14 h 30, rencontres féminines et jeunes. Dimanche, à 8 h 30, équipes seniors départementales masculines et à 14 h équipes régionales féminine et masculine.";"Samedi 21, dimanche 22 janvier, Salle Colette-Audry, La Montagne.";"La Montagne";"44";"44101";"44620";"47.1834, -1.67659";"2017-01-10";"2017-01-21";"2017-01-22";"non";"";"";"";"";"";"";"";"";"";"";""
"2017-01-21";"Jeux, concours";"44/Maisdon-sur-Sèvre";"amicale bouliste du Gardouet";"Association";"5413567";"Loisirs et sports";"Jeux, concours, rallye";"Concours";"Concours de boules en bois dans les salles chauffées";"";"1er prix : jambons ; 2e prix : langues de bœuf ; 3e prix : épaules d'agneau. Un lot par participant.";"Samedi 21 janvier, 13h30, Terrain de boules, rue de la Maine, Maisdon-sur-Sèvre. Tarif 7€.";"Maisdon-sur-Sèvre";"44";"44088";"44690";"47.09662, -1.388671";"2017-01-12";"2017-01-21";"2017-01-21";"oui";"7";"";"";"";"";"";"";"";"";"";""
