Début d'événement;Type d'événement;Ident Type;Lieu de l'événement;Nom Organisme;Type d'organisme;Ident Organisme;Identifiant;Etat;Theme;Style;Categorie;Genre;Ident Genre;Titre;Texte Début;Texte Milieu;Texte Fin;Commune;Département;Code INSEE;Code Postal;Coordonnées GPS;Date Modification;Jour 1;Jour 2;Jour 3;Jour Du;Jour Au;Jour Min;Jour Max;Tarif Mention Gratuit;Tarif Mention Payant;Tarif Général;Tarif Réduit;Tarif Autre;Photo 1 Chemin;Photo 1 Légende;Photo 1 Crédit;Photo 2 Chemin;Photo 2 Légende;Photo 2 Crédit;Photo 3 Chemin;Photo 3 Légende;Photo 3 Crédit;Age Minimum;Age Maximum;Duree;Mention Complet;Mention Accessible Handicap;Liens Billeteries;Liens Vidéos;Liens Sons;Liens Dossiers de Presse;Tags;Groupes;Texte Libre Court;Texte Libre Long
10/11/2016;Formation, vie scolaire, concours;32;61/Alençon;Signer ensemble;Association;115042;5320559;V;Pratique;Réunions formations cérémonies;Formation, vie scolaire, examens, concours;Formation;104;Atelier de sensibilisation à la langue des signes française (LSF);Organisateur : Signer ensemble.;Découverte de la langue des signes sous forme d’ateliers thématiques, ouvert à tous. Première participation gratuite (inscription obligatoire).;"Jeudi 10 novembre, 18h à 20h, Maison de la vie associative, 25-27, rue Demées, Alençon. Tarif 52€, autre : cotisation annuelle adulte, 12 € ; enfant, 4 €. Inscription avant le 9 novembre. Contact : 07 61 41 04 94, 02 33 26 31 65, assoc-signerensemble@hotmail.com, http://signerensemble.e-monsite.com";Alençon;61;61001;61000;48.43262, 0.0950933;27/10/2016;10/11/2016;;;;;10/11/2016;10/11/2016;non;oui;52;;"cotisation annuelle adulte, 12 € ; enfant, 4 €.";;;;;;;;;;8;;120;False;Auditif|Moteur;;;;;;;;
12/09/2016;Horaires, permanences;7;61/Alençon;M D P H;Administration, service public, parapublic;336797;5230233;V;Pratique;Vie quotidienne;Horaires, ouverture, permanence;Permanence;87;Maison départementale des personnes handicapées;Permanence.;Permanences d’informations et de conseils sur les maladies rares, l’aide aux aidants familiaux. Sans rendez-vous.;Lundi 12 septembre, lundi 12 décembre, 14h30 à 16h30, MDPH, 13, rue Marchand-Saillant, Alençon. Contact : 02 33 15 00 31.;Alençon;61;61001;61000;48.43065, 0.08362;06/09/2016;12/09/2016;12/12/2016;;;;12/09/2016;12/12/2016;non;non;;;;;;;;;;;;;;;;;Auditif|Visuel|Moteur;;;;;;;;
13/09/2016;Horaires, permanences;7;61/Alençon;M D P H;Administration, service public, parapublic;336797;5230254;V;Pratique;Vie quotidienne;Horaires, ouverture, permanence;Permanence;87;Maison départementale des personnes handicapées;Permanence.;Conseils et informations sur la maladie de Parkinson. Soutien aux aidants. Sans rendez-vous.;Mardi 13 septembre, mardi 13 décembre, 10h à 12h, MDPH, 13, rue Marchand-Saillant, Alençon. Contact : 02 33 15 00 31.;Alençon;61;61001;61000;48.43065, 0.08362;31/08/2016;13/09/2016;13/12/2016;;;;13/09/2016;13/12/2016;non;non;;;;;;;;;;;;;;;;;Visuel|Moteur|Mental|Auditif;;;;;;;;
09/11/2016;Menu;3;61/Alençon;Le restaurant de l'Hôtel de Cerisey;Association;167364;5316601;V;Loisir;Vie quotidienne;Menu (cantine scolaire, restaurant municipal);Menu;278;Hôtel de Cerisey, restaurant pour les plus de 60 ans;Menu.;Mercredi : museau vinaigrette, tête de veau maison, pommes vapeur, fromage et salade, tarte aux pommes maison. Jeudi : pâté de foie, cuisse de lapin sauce chasseur, jardinière de légumes, fromage et salade, mousse de fruits. Vendredi et samedi : fermé. Repas à 7,80 €. Cuisiné sur place (régimes sans sel, sans gluten), tél. 02 33 32 08 48. Prochain repas à thème : Le pot-au-feu (viande française), le mercredi 23 novembre.;Du mercredi 9 au samedi 12 novembre, Hôtel de Cerisey, 1, rue de la Demi-Lune, Alençon.;Alençon;61;61001;61000;48.43283, 0.08575704;25/10/2016;;;;09/11/2016;12/11/2016;09/11/2016;12/11/2016;non;non;;;;;;;;;;;;;;;;;;;;;;;;;
11/11/2016;Religion;50;61/Alençon;Paroisse Notre-Dame au pays d'Alençon;Institution religieuse;39407;5331981;V;Pratique;Réunions formations cérémonies;Cérémonie, commémoration, religions;Vie paroissiale;273;11-Novembre : messes;;"10 h, églises de Saint-Paterne, Forges et Cuissai ; 10 h 30, église de Gandelain ; 11 h, église de Saint-Germain-du-Corbéis.";Vendredi 11 novembre, Alençon.;Alençon;61;61001;61000;48.43065, 0.08362;04/11/2016;11/11/2016;;;;;11/11/2016;11/11/2016;non;non;;;;;;;;;;;;;;;;;;;;;;;;;
20/01/2016;Horaires, permanences;7;61/Alençon;CLIC CENTRE ORNE;Association;187542;4919654;V;Pratique;Vie quotidienne;Horaires, ouverture, permanence;Horaires;90;Clic de l'Orne;Horaires.;Le Clic s'adresse aux personnes âgées de plus de 60 ans, aux adultes handicapés et à leurs familles pour toutes questions touchant le maintien à domicile, les modalités d'hébergement, les démarches administratives (APA, carte d'invalidité, entrée en Ehpad), actions.;Jusqu'au lundi 20 février 2017, 8h30 à 12h et 13h30 à 17h, 1, place de la Halle-au-Blé, 1er étage, Alençon. Contact : 02 33 29 01 14, alencon.clic@laposte.net, www.clic-pays-alencon.com;Alençon;61;61001;61000;48.43065, 0.08362;13/09/2016;;;;20/01/2016;20/02/2017;20/01/2016;20/02/2017;non;non;;;;;;;;;;;;;;;;;;;;;;;;;
05/11/2016;Expositions, musées;23;61/Alençon;Incartade;Association;340867;5316325;V;Loisir;Voir visiter;Exposition, musée;Exposition;149;Art contemporain : Miroirs de l’âme d’Anne Pelosi;Exposition.;Elle propose d’entrer dans la poésie et le mystère de sa galerie de portraits qu’elle appréhende comme un miroir intérieur, le miroir de l’âme.;Du samedi 5 au dimanche 20 novembre, 14h à 18h30, Atelier.51@free.fr, 51, avenue du Général-Leclerc, Alençon. Gratuit.;Alençon;61;61001;61000;48.42086, 0.0897725;25/10/2016;;;;05/11/2016;20/11/2016;05/11/2016;20/11/2016;oui;non;;;;http://photos.infolocale.fr/infolocale/annonce/2016/1025/5316325/_1.jpg;Miroirs de l'âme;Anne Pelosi;;;;;;;;;;;Auditif|Visuel|Mental|Moteur;;;;;;;;
07/11/2016;Expositions, musées;23;61/Alençon;Patch'a;Association;337656;5317677;V;Loisir;Voir visiter;Exposition, musée;Exposition;149;Patchwork;Exposition.;L’association Patch’a a été créée par des passionnées de patchwork. Les ouvrages exposés sont des réalisations personnelles mais également des kilts confectionnés en commun par les adhérentes. Une démonstration est proposée aux visiteurs de 14 h à 16 h le mardi 8 novembre.;Du lundi 7 au samedi 12 novembre, 9h à 12h et 13h30 à 19h, Maison de la vie associative, 25, rue Demées, Alençon. Gratuit.;Alençon;61;61001;61000;48.43266, 0.0950849;26/10/2016;;;;07/11/2016;12/11/2016;07/11/2016;12/11/2016;oui;non;;;;;;;;;;;;;;;;False;Auditif|Mental|Moteur;;;;;;;L'association Patch'a a été créée en juillet 2015 par des passionnées par le patchwork. Les ouvrages exposés sont des réalisations personnelles mais également des quilts confectionnés en commun par les adhérentes. Une démonstration est proposée aux visiteurs de 14h à16h le mardi 8/11.;
20/10/2016;Formation, vie scolaire, concours;32;61/Alençon;Hôtel de ville;Mairie;43129;5300923;V;Pratique;Réunions formations cérémonies;Formation, vie scolaire, examens, concours;Vie scolaire (inscriptions...);186;Bourses d’enseignement supérieur;;Elles sont accordées par la municipalité aux étudiants, sous condition de ressources. Les dossiers de demande seront à retirer et à remettre au service Vie scolaire.;Du jeudi 20 octobre au mercredi 30 novembre, Annexe de la Rotonde, 6,8, rue des Filles-Notre-Dame, Alençon. Gratuit. Inscription avant le 30 novembre. Contact : 02 33 32 41 85.;Alençon;61;61001;61000;48.43093, 0.0841419;14/10/2016;;;;20/10/2016;30/11/2016;20/10/2016;30/11/2016;oui;non;;;;;;;;;;;;;;;;;;;;;;;;;
09/11/2016;Religion;50;61/Alençon;Paroisse Notre-Dame au pays d'Alençon;Institution religieuse;39407;5331962;V;Pratique;Réunions formations cérémonies;Ceremonie, commémoration, religions;Vie paroissiale;273;Aumônerie des étudiants et jeunes pros;;"18 h 30, messe à la basilique Notre-Dame ; 19 h 15, repas partagé et soirée à thème, salle de la Providence. Contact : P. Stéphane Cailliaux, 06 12 65 00 13.";Mercredi 9 novembre, Alençon.;Alençon;61;61001;61000;48.43065, 0.08362;04/11/2016;09/11/2016;;;;;09/11/2016;09/11/2016;non;non;;;;;;;;;;;;;;;;;;;;;;;;;
