"""24/11/2016""";"""Exposition, musee""";"""44/Nantes""";"""le 56""";"""Association""";"""5352214""";"""Voir visiter""";"""Exposition, musee""";"""Exposition""";"""56 chandelles""";"""Exposition.""";"""Avec Raphaël B., Aurelia Guerin, Anne Hervy, Sylvie Legendre, Florence Launay, Marie-Claire Mace, Helène Mathorel et Sandrine Merrien. Vernissage jeudi 24 nevembre à 19 h 30.""";"""Du jeudi 24 novembre au dimanche 18 decembre, Galerie Le 56, 56, rue de l'Hermitage, Nantes. Gratuit. Contact : 06 66 80 49 96, anne_hervy@yahoo.fr, https://www.facebook.com/galeriele56/""";"""Nantes""";"""44""";"""44109""";"""44000""";"""47.20244""";""" -1.576546""";"""24/11/2016""";"""18/12/2016""";"""non""";"""""";"""""";""""""
"""02/12/2016""";"""Exposition, musee""";"""44/Nantes""";"""Haus""";"""Association""";"""5365577""";"""Voir visiter""";"""Exposition, musee""";"""Exposition""";"""Michael Roy « I remember. Je me souviens »""";"""Exposition.""";"""L’œuvre de Michael Roy a la particularite de faire sans être faite. Des films sans camera, une œuvre basee sur une image ou un texte preexistant, une fiction basee sur d’autres fictions.""";"""Du vendredi 2 au vendredi 16 decembre, 18h30, Haus, 40, rue la Noue-Bras-de-Fer, Nantes. Gratuit. Contact : contact@haus-block.fr, https://www.facebook.com/HAUS.BLOCK/""";"""Nantes""";"""44""";"""44109""";"""44000""";"""47.20679""";""" -1.563978""";"""02/12/2016""";"""16/12/2016""";"""non""";"""""";"""""";""""""
"""21/10/2016""";"""Exposition, musee""";"""44/Nantes""";"""le Lieu-Unique""";"""Équipement à but non lucratif (culture, sport et loisir)""";"""5163488""";"""Voir visiter""";"""Exposition, musee""";"""Exposition""";"""Le vide et la lumière""";"""Exposition.""";"""Dmitry Gelfand et Evelina Domnitch creent des environnements sensoriels immersifs mêlant physique, chimie et informatique. Habitues de grands rendez-vous internationaux d’art technologique, ils presentent au Lieu-Unique leur première exposition personnelle en France.""";"""Du vendredi 21 octobre 2016 au dimanche 8 janvier 2017, 14h à 19h, Le Lieu-Unique, quai Ferdinand-Favre, Nantes. Gratuit. Contact : 02 40 12 14 34, www.lelieuunique.com""";"""Nantes""";"""44""";"""44109""";"""44000""";"""47.21558""";""" -1.545569""";"""21/10/2016""";"""08/01/2017""";"""non""";"""""";"""""";""""""
"""28/10/2016""";"""Exposition, musee""";"""44/Nantes""";"""galerie Confluence""";"""Association""";"""5293580""";"""Voir visiter""";"""Exposition, musee""";"""Exposition""";"""Les chambres blanches de Luca GIlli, photographe italien""";"""Exposition.""";"""A l'occasion de l'exposition l'histoire du musee des beaux-arts jusqu'au musee d'arts à L'Atelier (Nantes), la galerie Confluence presente parallèlement une selection de sa nouvelle serie de photos inedites prises à differents stades de la renovation du musee.""";"""Du vendredi 28 octobre au jeudi 22 decembre, 15h à 19h, Galerie Confluence, 45, rue de Richebourg, Nantes. Gratuit. Contact et reservation : 09 52 77 23 14, contact@galerie-confluence.fr, http://www.galerie-confluence.fr""";"""Nantes""";"""44""";"""44109""";"""44000""";"""47.21698""";""" -1.546794""";"""28/10/2016""";"""22/12/2016""";"""non""";"""""";"""""";""""""
"""09/12/2016""";"""Exposition, musee""";"""44/Nantes""";"""espace Cosmopolis""";"""Équipement à but non lucratif (culture, sport et loisir)""";"""5344732""";"""Voir visiter""";"""Exposition, musee""";"""Exposition""";"""Chroniques d'Afrique Centrale""";"""Exposition.""";"""Exposition de peintures d'expression narrative d'artistes Congolais et Centrafricains. Par leurs toiles, ces artistes revendiquent une approche ethique et engagee, humoristique ou poetique, documentaire ou surrealisante, des problematiques sociales et politiques de leur pays respectifs.""";"""Du vendredi 9 au samedi 31 decembre, 13h30 à 18h et 14h à 18h, Cosmopolis, 18, rue Scribe, Nantes. Gratuit. Contact : 02 52 10 82 00, cosmopolis-nantes@nantesmetropole.fr, www.nantes.fr/cosmopolis""";"""Nantes""";"""44""";"""44109""";"""44000""";"""47.21419""";""" -1.562649""";"""09/12/2016""";"""31/12/2016""";"""non""";"""""";"""""";""""""
"""25/11/2016""";"""Exposition, musee""";"""44/Nantes""";"""espace Simone-de-Beauvoir, droits des femmes""";"""Association""";"""5338847""";"""Voir visiter""";"""Exposition, musee""";"""Exposition""";"""Vous ne pouvez pas rester comme ça, Madame...""";"""Exposition.""";"""Exposition du photo-reporter Pierre-Yves Ginet sur les violences conjugales, realisee par l'association Femmes ici et Ailleurs. Horaires d'ouverture : lundis de 12 h à 17 h ";" mardis de 10 h à 17 h ";" mercredi de 12 h à 15 h ";" jeudi de 12 h à 17 h.""";"""Du vendredi 25 novembre 2016 au jeudi 19 janvier 2017, 12h à 15h, Espace Simone-de-Beauvoir, 15, quai Ernest-Renaud, Nantes. Gratuit. Contact : 02 40 12 15 18, contact@espace-de-beauvoir.fr, http://www.espace-de-beauvoir.fr/""";"""Nantes""";"""44""";"""44109""";"""44000""";"""47.20652""";""" -1.573833""";"""25/11/2016""";"""19/01/2017""";"""non"""
"""27/06/2016""";"""Exposition, musee""";"""44/Nantes""";"""Maison des Hommes et des techniques""";"""Association""";"""5138761""";"""Voir visiter""";"""Exposition, musee""";"""Exposition""";"""Histoires d'epaves. L'archeologie en eaux bretonnes""";"""Exposition.""";"""L'exposition met à l'honneur les differents sites archeologiques bretons, leurs epaves et le mobilier retrouve sur place, ainsi que l'important travail realise par les archeologues, les historiens et les plongeurs. Dix-sept epaves sont presentees, et plus d'une centaine d'objets archeologiques.""";"""Du lundi 27 juin 2016 au vendredi 13 janvier 2017, 10h à 12h30 et 14h à 18h, Maison des Hommes et des techniques, bâtiment Ateliers et chantiers de Nantes, 2 bis, boulevard Leon-Bureau, Nantes. Gratuit. Contact : 02 40 08 20 22, mht.nantes@wanadoo.fr, www.maison-hommes-techniques.fr""";"""Nantes""";"""44""";"""44109""";"""44000""";"""47.20686""";""" -1.56457""";"""27/06/2016""";"""13/01/2017""";"""non""";"""""";"""""";""""""
"""26/11/2016""";"""Exposition, musee""";"""44/Nantes""";"""Atelier du Chapeau Rouge""";"""Association""";"""5357610""";"""Voir visiter""";"""Exposition, musee""";"""Exposition""";"""Un beau voyage par Marc Majewski, dedicaces et vernissage""";"""Exposition.""";"""Planches originales de Marc Majewski, dans le cadre de la sortie du livre Un beau voyage aux editions Le buveur d’encre. Dedicaces le samedi 26 à 16 h et vernissage à 19 h.""";"""Du samedi 26 novembre 2016 au samedi 14 janvier 2017, Atelier du Chapeau Rouge, 27, rue chateaubriand, Nantes. Gratuit. Contact : 06 28 23 81 22, atelier-chapeau-rouge@laposte.net, atelier-chapeau-rouge.fr""";"""Nantes""";"""44""";"""44109""";"""44000""";"""47.21684""";""" -1.55674""";"""26/11/2016""";"""14/01/2017""";"""non""";"""""";"""""";""""""
"""13/12/2016""";"""Exposition, musee""";"""44/Nantes""";"""Grand patrimoine de Loire-Atlantique""";"""Équipement à but non lucratif (culture, sport et loisir)""";"""5176169""";"""Voir visiter""";"""Exposition, musee""";"""Exposition""";"""Voyage dans les collections - acte 2""";"""Exposition.""";"""Plus de 350 pièces sont exposees au musee Dobree pour une exposition florilège : sculptures antiques, statuettes asiatiques, objets rituels d'Amerique et d'Oceanie, gravures de Dürer. et l'ecrin en or du cœur d'Anne de Bretagne ! Un voyage à travers 5 000 siècles d'histoire sur 5 continents.""";"""Du mardi 13 au dimanche 18 decembre, 13h30 à 18h, Musee Dobree, 18, rue Voltaire, Nantes. Gratuit. Contact : 02 40 71 05 79, musee.dobree@loire-atlantique.fr, http://grand-patrimoine.loire-atlantique.fr/exposition-voyage""";"""Nantes""";"""44""";"""44109""";"""44000""";"""47.21204""";""" -1.566282""";"""13/12/2016""";"""18/12/2016""";"""non""";"""""";"""""";""""""
"""26/11/2016""";"""Exposition, musee""";"""44/Nantes""";"""ecole de design Nantes Atlantique""";"""Etablissement scolaire, universitaire""";"""5346816""";"""Voir visiter""";"""Exposition, musee""";"""Exposition""";"""Design l'expo : le design, une demarche d'innovation""";"""Exposition.""";"""L'ecole de design Nantes Atlantique met en avant une selection de 19 projets de fin d'etudes à travers des projets innovants et des scenarios de vie qui sont autant d'evolutions possibles pour le quotidien et le futur. Le mercredi, samedi et dimanche.""";"""Du samedi 26 novembre 2016 au mercredi 25 janvier 2017, 14h à 18h, La Cale 2 createurs, parc des Chantiers, Nantes. Gratuit.""";"""Nantes""";"""44""";"""44109""";"""44000""";"""47.21684""";""" -1.55674""";"""26/11/2016""";"""25/01/2017""";"""non""";"""""";"""""";""""""
