Debut d'evenement;Type d'evenement;Lieu de l'evenement;Nom Organisme;Type d'organisme;Identifiant;Style;Categorie;Genre;Titre;Texte Debut;Texte Milieu;Texte Fin;Commune;Departement;Code INSEE;Code Postal;Coordonnees GPS;Jour Min;Jour Max;Tarif Mention Payant;Tarif General;Tarif Autre;Age Minimum;Age max;Mention Accessible Handicap;Liens Billeteries;Liens Videos;;NOURI;GHANEM
17/12/2016;Conference;44/Nantes;Anne Ruesche;Autre organisme à but non lucratif;5386767;Voir visiter;Conference;Conference;Cafe-debat sur la surdouance avec l’ecrivain Laurent Desmottes;Conference.;Laurent Desmottes, Nantais, agrege de physique et enseignant de grandes ecoles, dont le QI depasse les 150, livre son parcours dans son ouvrage intitule « Surdoue et heureux... C’est possible ! ». Laurent Desmottes se reapproprie à juste titre la question de la douance.;Samedi 17 decembre, 10h, Le Flesselles, 3, allee Flesselles, Nantes. Gratuit. Contact : anneruesche@gmail.com;Nantes;44;44109;44000;47.21435, -1.55466;17/12/2016;17/12/2016;non;;;0;99;Visuel;;;;non;non
07/12/2016;Animation jeunes;44/Nantes;Hora;Association;5363357;Loisirs et sports;Animation loisirs jeunes;Animation;Yoga enfants et pre-ados;;4 thèmes pour decouvrir le yoga à travers la detente, la respiration, developper un mental fort et un esprit clair. Le programme des ateliers est base sur l'enseignement developpe au RYE (rye-yoga.fr). 1er cours gratuit.;Mercredi 7, mercredi 14 decembre 2016, mercredi 4 janvier 2017, 17h à 18h, 30, rue Deshoulières, Nantes. Tarif 5€. Contact et reservation : 07 53 02 08 05, contact@yoga-rama.com, www.yoga-rama.com;Nantes;44;44109;44000;47.21825, -1.565676;07/12/2016;04/01/2017;oui;5;;;;;;;;non;non
17/12/2016;Spectacle;44/Nantes;theâtre du Sphinx;Association;5382774;Concerts, spectacles;Autres scènes;Humour;Nouveau depart par Kevin Robin;Humour.;Stand up. Avec une touchante sincerite Kevin confie doutes, motivations, observations et conclusions sur un monde qu'il ne comprend pas toujours.;Samedi 17 decembre, 19h, Theâtre du Sphinx, 9, rue Monteil, Nantes. Tarif entree libre. Contact et reservation : 06 84 49 86 92, contact@theatredusphinx.com, http://www.theatredusphinx.com;Nantes;44;44109;44000;47.21357, -1.547972;17/12/2016;17/12/2016;oui;;entree libre;;;;;;;oui;oui
17/12/2016;Animation jeunes;44/Nantes;musee Jules-Verne;Équipement à but non lucratif (culture, sport et loisir);5380345;Loisirs et sports;Animation loisirs jeunes;Animation;Le tour du monde en 6 langues;;Atelier anime par l'association Evalap pour decouvrir l'univers de Jules Verne et familiariser les enfants aux langues etrangères à travers des activites ludiques et artistiques.;Samedi 17 decembre, 15h à 16h30, Musee Jules-Verne, Nantes. Tarif enfants metropolitains 3 €/non-metropolitains 6 €. Inscription avant le 16 decembre. Contact : 02 40 69 72 52, musee-julesverne@nantesmetropole.fr, http://www.julesverne.nantesmetropole.fr;Nantes;44;44109;44000;47.20205, -1.577412;17/12/2016;17/12/2016;oui;;enfants metropolitains 3 €/non-metropolitains 6 €;;;;;;;non;non
17/12/2016;Spectacle;44/Nantes;K production;Équipement à but non lucratif (culture, sport et loisir);4898179;Concerts, spectacles;Autres scènes;Humour;Caroline Vigneaux;Humour.;Spectacle « Quitte la robe ».;Samedi 17 decembre, à 20h30, Cite des congrès, 5, quai Valmy, Nantes. Tarif 37€. Contact et reservation : 02 40 25 09 55, www.kproduction.fr.;Nantes;44;44109;44000;47.21314, -1.542703;17/12/2016;17/12/2016;oui;37;;;;;;;;non;non
24/11/2016;Exposition, musee;44/Nantes;le 56;Association;5352214;Voir visiter;Exposition, musee;Exposition;56 chandelles;Exposition.;Avec Raphaël B., Aurelia Guerin, Anne Hervy, Sylvie Legendre, Florence Launay, Marie-Claire Mace, Helène Mathorel et Sandrine Merrien. Vernissage jeudi 24 nevembre à 19 h 30.;Du jeudi 24 novembre au dimanche 18 decembre, Galerie Le 56, 56, rue de l'Hermitage, Nantes. Gratuit. Contact : 06 66 80 49 96, anne_hervy@yahoo.fr, https://www.facebook.com/galeriele56/;Nantes;44;44109;44000;47.20244, -1.576546;24/11/2016;18/12/2016;non;;;;;Auditif|Visuel|Mental;;;;non;non
16/12/2016;Concert;44/Nantes;Toxxic productions;Association;5361664;Concerts, spectacles;Concert, spectacle musical;Rock;Toxxic TV;Rock. Vendredi 16 decembre, 20h, Chez Madame-Rêve, 2, allee Jean-Bart, Nantes. Gratuit.;;;Nantes;44;44109;44000;47.21442, -1.555273;16/12/2016;16/12/2016;non;;;;;;;;;non;oui
15/12/2016;Concert;44/Nantes;Helena Cueto compagnie flamenca;Association;5331897;Concerts, spectacles;Concert, spectacle musical;Musiques du monde;Soiree flamenco, compagnie Flamenca;Musiques du monde.;Spectacle traditionnel flamenco chaque soir avec Emilio Cortes au chant, Albant Lorini à la guitare, Helena Cueto à la danse. En plus : stages de chant, danse et palmas, du 15 au 18 decembre inclus, reservation au 0679313746 ou info@helenacueto.com.;Du jeudi 15 au dimanche 18 decembre, 20h30, Theâtre de la Ruche, 8, rue Felibien, Nantes. Tarif 12€, reduit 8€, autre : Enfant et adherent 5 €. Reservation : 02 51 80 89 13, resa@laruchenantes.fr, http://www.helenacueto.com;Nantes;44;44109;44000;47.22102, -1.563876;15/12/2016;18/12/2016;oui;12;Enfant et adherent 5 €;;;Auditif|Visuel|Mental|Moteur;http://theatrelaruche.wixsite.com/accueil/sign_up;https://www.youtube.com/watch?v=u7F5g05JgI4;;;oui
16/12/2016;Conference;44/Nantes;passage Sainte-Croix;Équipement à but non lucratif (culture, sport et loisir);5302431;Voir visiter;Conference;Conference;Cafe theo: Anne Lemoine: de l'eau et des mythes;Conference.;Insaisissable, multiforme, l'eau indispensable à la vie, l'eau qui sans cesse se metamorphose fut souvent perçue comme une benediction des dieux. A travers les continents, l'eau abreuve les recits mythiques lies à la naissance du monde, à l'apparition de la vie, à l'emergence de l'Homme.;Vendredi 16 decembre, 12h30, Passage Sainte-Croix, 9, rue de la Bâclerie, quartier Bouffay, Nantes. Gratuit. Contact : 02 51 83 23 75, accueil.passage@gmail.com, http://www.passagesaintecroix.fr;Nantes;44;44109;44000;47.21514, -1.55368;16/12/2016;16/12/2016;non;;;;;Moteur;;;;;non
06/09/2016;Atelier, activite de loisirs;44/Nantes;À l'eau pastels;Association;5221333;Loisirs et sports;Atelier, activite de loisirs;Dessin, peinture;Dessin, peinture;;Enfants ados prepas adultes, au crayon, au pinceau, en modelage, dessin, couleur, volume.;Du mardi 6 septembre 2016 au vendredi 30 juin 2017, 10h à 22h, Atelier de l'ermitage, 5, square C. Guine, rue du roi Baco, Nantes. Tarif 8€, reduit 6€. Contact et reservation : 02 40 69 51 91, 06 15 82 37 41, marianne.roux@yahoo.fr, dessin-nantes.com;Nantes;44;44109;44000;47.22396, -1.540806;06/09/2016;30/06/2017;oui;8;;;;;;;;;non
